"COUNTRY_CODE","COUNTRY_NAME","VACCINE_NAME"
"AFG","Afghanistan","Oxford/AstraZeneca"
"ALB","Albania","Pfizer/BioNTech"
"DZA","Algeria","Sputnik V"
"AND","Andorra","Pfizer/BioNTech"
"AGO","Angola","Oxford/AstraZeneca"
"AIA","Anguilla","Oxford/AstraZeneca"
"ATG","Antigua and Barbuda","Oxford/AstraZeneca"
"ARG","Argentina","Oxford/AstraZeneca"
"ARG","Argentina"," Sputnik V"
"ARG","Argentina"," Sinopharm/Beijing"
"AUS","Australia","Oxford/AstraZeneca"
"AUS","Australia"," Pfizer/BioNTech"
"AUT","Austria","Moderna"
"AUT","Austria"," Pfizer/BioNTech"
"AUT","Austria"," Oxford/AstraZeneca"
"AZE","Azerbaijan","Sinovac"
"BHS","Bahamas","Oxford/AstraZeneca"
"BHR","Bahrain","Oxford/AstraZeneca"
"BHR","Bahrain"," Pfizer/BioNTech"
"BHR","Bahrain"," Sinopharm/Beijing"
"BHR","Bahrain"," Sputnik V"
"BGD","Bangladesh","Oxford/AstraZeneca"
"BRB","Barbados","Oxford/AstraZeneca"
"BLR","Belarus","Sputnik V"
"BEL","Belgium","Moderna"
"BEL","Belgium"," Oxford/AstraZeneca"
"BEL","Belgium"," Pfizer/BioNTech"
"BLZ","Belize","Oxford/AstraZeneca"
"BMU","Bermuda","Pfizer/BioNTech"
"BOL","Bolivia","Sputnik V"
"BRA","Brazil","Oxford/AstraZeneca"
"BRA","Brazil"," Sinovac"
"BGR","Bulgaria","Moderna"
"BGR","Bulgaria"," Oxford/AstraZeneca"
"BGR","Bulgaria"," Pfizer/BioNTech"
"KHM","Cambodia","Sinopharm/Beijing"
"CAN","Canada","Moderna"
"CAN","Canada"," Oxford/AstraZeneca"
"CAN","Canada"," Pfizer/BioNTech"
"CYM","Cayman Islands","Pfizer/BioNTech"
"CHL","Chile","Pfizer/BioNTech"
"CHL","Chile"," Sinovac"
"CHN","China"," Sinopharm/Wuhan"
"CHN","China","Sinopharm/Beijing"
"CHN","China"," Sinovac"
"COL","Colombia","Pfizer/BioNTech"
"COL","Colombia"," Sinovac"
"CRI","Costa Rica","Pfizer/BioNTech"
"CIV","Cote d'Ivoire","Oxford/AstraZeneca"
"HRV","Croatia","Pfizer/BioNTech"
"CYP","Cyprus","Pfizer/BioNTech"
"CZE","Czechia","Moderna"
"CZE","Czechia"," Oxford/AstraZeneca"
"CZE","Czechia"," Pfizer/BioNTech"
"DNK","Denmark","Moderna"
"DNK","Denmark"," Oxford/AstraZeneca"
"DNK","Denmark"," Pfizer/BioNTech"
"DMA","Dominica","Oxford/AstraZeneca"
"DOM","Dominican Republic","Oxford/AstraZeneca"
"DOM","Dominican Republic"," Sinovac"
"ECU","Ecuador","Pfizer/BioNTech"
"EGY","Egypt","Sinopharm/Beijing"
"SLV","El Salvador","Oxford/AstraZeneca"
"OWID_ENG","England","Oxford/AstraZeneca"
"OWID_ENG","England"," Pfizer/BioNTech"
"GNQ","Equatorial Guinea","Sinopharm/Beijing"
"EST","Estonia","Moderna"
"EST","Estonia"," Oxford/AstraZeneca"
"EST","Estonia"," Pfizer/BioNTech"
"FRO","Faeroe Islands","Moderna"
"FRO","Faeroe Islands"," Pfizer/BioNTech"
"FLK","Falkland Islands","Oxford/AstraZeneca"
"FIN","Finland","Moderna"
"FIN","Finland"," Oxford/AstraZeneca"
"FIN","Finland"," Pfizer/BioNTech"
"FRA","France","Moderna"
"FRA","France"," Oxford/AstraZeneca"
"FRA","France"," Pfizer/BioNTech"
"DEU","Germany","Moderna"
"DEU","Germany"," Oxford/AstraZeneca"
"DEU","Germany"," Pfizer/BioNTech"
"GHA","Ghana","Oxford/AstraZeneca"
"GIB","Gibraltar","Pfizer/BioNTech"
"GRC","Greece","Moderna"
"GRC","Greece"," Oxford/AstraZeneca"
"GRC","Greece"," Pfizer/BioNTech"
"GRL","Greenland","Pfizer/BioNTech"
"GRD","Grenada","Oxford/AstraZeneca"
"GTM","Guatemala","Moderna"
"GGY","Guernsey","Pfizer/BioNTech"
"GIN","Guinea","Sputnik V"
"GUY","Guyana","Oxford/AstraZeneca"
"HND","Honduras"," Oxford/AstraZeneca"
"HND","Honduras","Moderna"
"HKG","Hong Kong"," Sinovac"
"HKG","Hong Kong","Pfizer/BioNTech"
"HUN","Hungary"," Sinopharm/Beijing"
"HUN","Hungary"," Pfizer/BioNTech"
"HUN","Hungary"," Oxford/AstraZeneca"
"HUN","Hungary"," Sputnik V"
"HUN","Hungary","Moderna"
"ISL","Iceland","Moderna"
"ISL","Iceland"," Oxford/AstraZeneca"
"ISL","Iceland"," Pfizer/BioNTech"
"IND","India","Covaxin"
"IND","India"," Oxford/AstraZeneca"
"IDN","Indonesia","Sinovac"
"IRN","Iran","Sputnik V"
"IRL","Ireland","Moderna"
