date,total_vaccinations,people_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,daily_vaccinations_per_million
2020-12-20,556208.0,556208.0,0.17,0.17,0.0
2020-12-21,614117.0,614117.0,0.18,0.18,173.0
2020-12-23,1008025.0,1008025.0,0.3,0.3,450.0
2020-12-26,1944585.0,1944585.0,0.58,0.58,692.0
2020-12-28,2127143.0,2127143.0,0.64,0.64,646.0
2020-12-30,2794588.0,2794588.0,0.84,0.84,763.0
2021-01-02,4225756.0,4225756.0,1.26,1.26,974.0
2021-01-04,4563260.0,4563260.0,1.36,1.36,1041.0
2021-01-05,4836469.0,4836469.0,1.45,1.45,1015.0
2021-01-06,5306797.0,5306797.0,1.59,1.59,1073.0
2021-01-07,5919418.0,5919418.0,1.77,1.77,1131.0
2021-01-08,6688231.0,6688231.0,2.0,2.0,1256.0
2021-01-11,8987322.0,8987322.0,2.69,2.69,1890.0
2021-01-12,9327138.0,9327138.0,2.79,2.79,1918.0
2021-01-14,11148991.0,9690757.0,3.33,2.9,2234.0
2021-01-15,12279180.0,10595866.0,3.67,3.17,2388.0
2021-01-19,15707588.0,13595803.0,4.7,4.07,2725.0
2021-01-20,16525281.0,14270441.0,4.94,4.27,2668.0
2021-01-21,17546374.0,15053257.0,5.25,4.5,2733.0
2021-01-22,19107959.0,16243093.0,5.71,4.86,2917.0
2021-01-23,20537990.0,17390345.0,6.14,5.2,3162.0
2021-01-24,21848655.0,18502131.0,6.53,5.53,3355.0
2021-01-25,22734243.0,19252279.0,6.8,5.76,3368.0
2021-01-26,23540994.0,19902237.0,7.04,5.95,3346.0
2021-01-27,24652634.0,20687970.0,7.37,6.19,3472.0
2021-01-28,26193682.0,21698606.0,7.83,6.49,3694.0
2021-01-29,27884661.0,22858318.0,8.34,6.83,3749.0
2021-01-30,29577902.0,24064165.0,8.84,7.2,3861.0
2021-01-31,31123299.0,25201143.0,9.31,7.54,3962.0
2021-02-01,32222402.0,26023153.0,9.63,7.78,4053.0
2021-02-02,32780860.0,26440836.0,9.8,7.91,3947.0
2021-02-03,33878254.0,27154956.0,10.13,8.12,3941.0
2021-02-04,35203710.0,27905197.0,10.53,8.34,3849.0
2021-02-05,36819212.0,28909497.0,11.01,8.64,3816.0
2021-02-06,39037964.0,30250964.0,11.67,9.05,4041.0
2021-02-07,41210937.0,31579100.0,12.32,9.44,4309.0
2021-02-08,42417617.0,32340146.0,12.68,9.67,4355.0
2021-02-09,43206190.0,32867213.0,12.92,9.83,4453.0
2021-02-10,44769970.0,33783384.0,13.39,10.1,4652.0
2021-02-11,46390270.0,34723964.0,13.87,10.38,4778.0
2021-02-12,48410558.0,35834855.0,14.48,10.71,4951.0
2021-02-13,50641884.0,37056122.0,15.14,11.08,4957.0
2021-02-14,52884356.0,38292270.0,15.81,11.45,4986.0
2021-02-16,55220364.0,39670551.0,16.51,11.86,5132.0
2021-02-17,56281827.0,40268009.0,16.83,12.04,4917.0
2021-02-18,57737767.0,41021049.0,17.26,12.27,4847.0
2021-02-19,59585043.0,41977401.0,17.82,12.55,4773.0
2021-02-20,61289500.0,42809595.0,18.33,12.8,4548.0
2021-02-21,63090634.0,43628092.0,18.86,13.05,4360.0
2021-02-22,64177474.0,44138118.0,19.19,13.2,4325.0
2021-02-23,65032083.0,44544969.0,19.44,13.32,4191.0
2021-02-24,66464947.0,45237143.0,19.87,13.53,4350.0
2021-02-25,68274117.0,46074392.0,20.41,13.78,4501.0
2021-02-26,70454064.0,47184199.0,21.07,14.11,4643.0
2021-02-27,72806180.0,48435536.0,21.77,14.48,4919.0
2021-02-28,75236003.0,49772180.0,22.5,14.88,5188.0
2021-03-01,76899987.0,50732997.0,22.99,15.17,5434.0
2021-03-02,78631601.0,51755447.0,23.51,15.48,5809.0
2021-03-03,80540474.0,52855579.0,24.08,15.8,6012.0
2021-03-04,82572848.0,54035670.0,24.69,16.16,6108.0
2021-03-05,85008094.0,55547697.0,25.42,16.61,6217.0
2021-03-06,87912323.0,57358849.0,26.29,17.15,6453.0
2021-03-07,90351750.0,58873710.0,27.02,17.6,6457.0
2021-03-08,92089852.0,60005231.0,27.54,17.94,6488.0
2021-03-09,93692598.0,61088527.0,28.01,18.27,6433.0
2021-03-10,95721290.0,62451150.0,28.62,18.67,6485.0
2021-03-11,98203893.0,64071674.0,29.36,19.16,6677.0
2021-03-12,101128005.0,65965305.0,30.24,19.72,6886.0
2021-03-13,105703501.0,68884011.0,31.61,20.6,7600.0
2021-03-14,107060274.0,69784210.0,32.01,20.87,7137.0
2021-03-15,109081860.0,71054445.0,32.62,21.25,7258.0
2021-03-16,110737856.0,72135616.0,33.11,21.57,7281.0
2021-03-17,113037627.0,73669956.0,33.8,22.03,7397.0
2021-03-18,115730008.0,75495716.0,34.6,22.57,7486.0
2021-03-19,118313818.0,77230061.0,35.38,23.09,7341.0
2021-03-20,121441497.0,79367225.0,36.31,23.73,6723.0
2021-03-21,124481412.0,81415769.0,37.22,24.34,7441.0
2021-03-22,126509736.0,82772416.0,37.83,24.75,7444.0
